id,T_cola1,T_enfermera,T_cola2,T_doctora,T_final,T_espera1,T_espera2,T_espera_total,T_total_sistema
537,7712.289958779588,7712.289958779588,7716.153398982258,7765.442025255952,7769.813588803126,0.0,49.28862627369381,49.28862627369381,57.52363002353741
538,7738.935531663288,7738.935531663288,7742.14660629391,7769.813588803126,7777.5017114441025,0.0,27.666982509215813,27.666982509215813,38.56617978081431
539,7742.268310074357,7742.268310074357,7747.243785568358,7777.5017114441025,7796.35639052278,0.0,30.25792587574415,30.25792587574415,54.08808044842317
540,7789.453911471948,7789.453911471948,7796.515102402453,7796.515102402453,7829.540624816081,0.0,0.0,0.0,40.08671334413248
541,7811.170176979599,7811.170176979599,7818.66673241582,7829.540624816081,7866.149085053045,0.0,10.873892400260956,10.873892400260956,54.97890807344629
542,7812.571813749646,7818.66673241582,7823.735294178937,7866.149085053045,7900.3063108422075,6.094918666173726,42.4137908741086,48.508709540282325,87.73449709256147
543,7818.138867517262,7823.735294178937,7827.890690655144,7900.3063108422075,7918.251605841557,5.596426661674741,72.41562018706372,78.01204684873846,100.1127383242947
544,7825.25857004929,7827.890690655144,7830.507037287027,7918.251605841557,7927.668344265087,2.6321206058537427,87.7445685545299,90.37668916038365,102.40977421579737
545,7826.695316539998,7830.507037287027,7837.931463297165,7927.668344265087,7933.385657770916,3.8117207470286303,89.73688096792284,93.54860171495147,106.69034123091751
546,7827.1409265161565,7837.931463297165,7840.48133573502,7933.385657770916,7939.924341441883,10.790536781008086,92.90432203589535,103.69485881690343,112.7834149257269
547,7832.628534448921,7840.48133573502,7845.933168724473,7939.924341441883,7946.397836165157,7.852801286099748,93.99117271741034,101.84397400351008,113.76930171623644
548,7834.593299149329,7845.933168724473,7852.384016958581,7946.397836165157,7959.1481320403545,11.339869575143894,94.01381920657604,105.35368878171994,124.5548328910254
549,7836.840646367374,7852.384016958581,7859.508703747086,7959.1481320403545,7984.99765816808,15.54337059120735,99.6394282932688,115.18279888447614,148.15701180070664
550,7861.338656863586,7861.338656863586,7863.943064032068,7984.99765816808,7985.973254182343,0.0,121.05459413601238,121.05459413601238,124.63459731875719
551,7890.461273136079,7890.461273136079,7897.188610391581,7985.973254182343,8002.338881632075,0.0,88.78464379076195,88.78464379076195,111.87760849599545
552,7907.1292867532275,7907.1292867532275,7909.9255075308265,8002.338881632075,8020.452712964953,0.0,92.41337410124834,92.41337410124834,113.32342621172575
553,7914.2227022027655,7914.2227022027655,7919.647803867394,8020.452712964953,8021.51941207336,0.0,100.80490909755918,100.80490909755918,107.2967098705949
554,7936.688406941998,7936.688406941998,7943.58884558981,8021.51941207336,8026.856224750641,0.0,77.93056648355014,77.93056648355014,90.16781780864221
555,7939.145361286696,7943.58884558981,7947.694479256253,8026.856224750641,8041.275725686696,4.443484303114019,79.16174549438801,83.60522979750203,102.13036439999996
556,7972.921017719497,7972.921017719497,7976.338843460179,8041.275725686696,8046.6147612619025,0.0,64.9368822265169,64.9368822265169,73.69374354240517
557,7978.899584996516,7978.899584996516,7983.802706389237,8046.6147612619025,8069.345582310485,0.0,62.81205487266561,62.81205487266561,90.4459973139692
558,8010.601507437099,8010.601507437099,8015.035224474616,8069.345582310485,8091.012327425446,0.0,54.31035783586867,54.31035783586867,80.4108199883467
559,8016.2549227731515,8016.2549227731515,8021.698365860246,8091.012327425446,8093.081562961526,0.0,69.31396156519986,69.31396156519986,76.82664018837477
560,8048.716419177376,8048.716419177376,8055.943483075767,8093.081562961526,8105.9070443217815,0.0,37.138079885759,37.138079885759,57.1906251444052
561,8079.382207206114,8079.382207206114,8083.979712493852,8105.9070443217815,8115.593495995071,0.0,21.927331827929265,21.927331827929265,36.21128878895706
562,8085.776438584284,8085.776438584284,8088.989177061944,8115.593495995071,8130.213454283934,0.0,26.604318933126706,26.604318933126706,44.437015699650146
563,8094.352610677226,8094.352610677226,8100.868152220051,8130.213454283934,8144.354197935391,0.0,29.345302063882627,29.345302063882627,50.00158725816527
564,8102.329366126015,8102.329366126015,8106.916013334296,8144.354197935391,8155.343521669028,0.0,37.4381846010956,37.4381846010956,53.01415554301275
565,8113.986675952036,8113.986675952036,8119.751508333717,8155.343521669028,8157.551547730672,0.0,35.592013335311094,35.592013335311094,43.56487177863528
566,8125.308083338342,8125.308083338342,8130.1119749198415,8157.551547730672,8166.934084038047,0.0,27.439572810830214,27.439572810830214,41.6260006997054
567,8144.844363470847,8144.844363470847,8151.34882645711,8166.934084038047,8171.46070191868,0.0,15.58525758093765,15.58525758093765,26.616338447832277
568,8145.196381970306,8151.34882645711,8157.645710849718,8171.46070191868,8177.133606889323,6.152444486803688,13.814991068961717,19.967435555765405,31.937224919017353
569,8157.859606174886,8157.859606174886,8163.0405109685025,8177.133606889323,8189.916851435074,0.0,14.093095920820815,14.093095920820815,32.05724526018821
570,8163.101836301477,8163.101836301477,8167.550582089943,8189.916851435074,8191.8061504242205,0.0,22.366269345130604,22.366269345130604,28.7043141227432
571,8184.604758800493,8184.604758800493,8187.707098278919,8191.8061504242205,8204.088096705187,0.0,4.099052145301357,4.099052145301357,19.483337904694054
572,8215.967281773375,8215.967281773375,8220.436254591588,8220.436254591588,8222.061234175284,0.0,0.0,0.0,6.093952401908609
573,8265.139603704998,8265.139603704998,8272.258814868184,8272.258814868184,8274.60600059878,0.0,0.0,0.0,9.466396893782075
574,8267.053026765192,8272.258814868184,8275.994448698419,8275.994448698419,8291.525088433373,5.205788102992301,0.0,5.205788102992301,24.472061668180686
575,8272.300320405675,8275.994448698419,8282.733891368898,8291.525088433373,8292.018614108909,3.6941282927436987,8.791197064474545,12.485325357218244,19.71829370323394
576,8295.03166820519,8295.03166820519,8297.755793366758,8297.755793366758,8298.961854133366,0.0,0.0,0.0,3.9301859281749785
577,8297.932818259751,8297.932818259751,8302.646012890587,8302.646012890587,8319.61873157067,0.0,0.0,0.0,21.685913310919204
578,8301.239941947659,8302.646012890587,8308.394471097887,8319.61873157067,8321.259502733872,1.4060709429286362,11.224260472783499,12.630331415712135,20.019560786213333
579,8301.7296337518,8308.394471097887,8311.082899346695,8321.259502733872,8322.313488172664,6.664837346086642,10.176603387177238,16.84144073326388,20.583854420863645
580,8313.707267083888,8313.707267083888,8317.974111458443,8322.313488172664,8335.727961982731,0.0,4.339376714220634,4.339376714220634,22.02069489884343
581,8323.631920830072,8323.631920830072,8327.590343741293,8335.727961982731,8339.073101753664,0.0,8.137618241438759,8.137618241438759,15.441180923591673
582,8355.396921987516,8355.396921987516,8362.3314004249,8362.3314004249,8364.446454265137,0.0,0.0,0.0,9.049532277620528
583,8364.677579379631,8364.677579379631,8369.615680615358,8369.615680615358,8384.407921641096,0.0,0.0,0.0,19.730342261464102
584,8365.905765093392,8369.615680615358,8374.834324086367,8384.407921641096,8387.330429266265,3.7099155219657405,9.573597554728622,13.283513076694362,21.424664172873236
585,8368.427027921136,8374.834324086367,8379.02582775701,8387.330429266265,8404.171832997297,6.407296165230946,8.304601509255008,14.711897674485954,35.744805076161356
586,8381.026335618277,8381.026335618277,8386.539855102073,8404.171832997297,8418.665980170506,0.0,17.631977895223827,17.631977895223827,37.63964455222958
587,8385.440757415747,8386.539855102073,8389.841865931707,8418.665980170506,8419.094817161427,1.099097686326786,28.824114238799666,29.923211925126452,33.65405974568057
588,8388.590924269136,8389.841865931707,8396.430426526777,8419.094817161427,8421.006385234949,1.2509416625707672,22.664390634650772,23.91533229722154,32.4154609658126
589,8409.619953347505,8409.619953347505,8414.294223107787,8421.006385234949,8428.616658988838,0.0,6.712162127161719,6.712162127161719,18.996705641333392
590,8411.928324848062,8414.294223107787,8418.014909356909,8428.616658988838,8433.31680712753,2.3658982597244176,10.601749631929124,12.967647891653542,21.388482279468008
